run_id,seed,worker_id,result,reason,timestamp
2262,22027,4,REJECT,neighbor_abort,2026-04-24 23:46:55
2713,21940,5,ACCEPT,outputs_ok,2026-04-24 23:46:56
896,20418,1,REJECT,connectivity_failed,2026-04-24 23:46:57
9529,23077,20,ACCEPT,outputs_ok,2026-04-24 23:46:57
3164,21787,6,REJECT,connectivity_failed,2026-04-24 23:46:59
2262,22049,4,REJECT,connectivity_failed,2026-04-24 23:47:02
896,20440,1,REJECT,connectivity_failed,2026-04-24 23:47:02
8169,22150,17,REJECT,connectivity_failed,2026-04-24 23:47:02
3164,21809,6,REJECT,connectivity_failed,2026-04-24 23:47:05
9530,23099,20,REJECT,connectivity_failed,2026-04-24 23:47:06
4528,20690,9,ACCEPT,outputs_ok,2026-04-24 23:47:07
9075,21844,19,ACCEPT,outputs_ok,2026-04-24 23:47:10
2262,22071,4,REJECT,connectivity_failed,2026-04-24 23:47:11
4529,20712,9,REJECT,connectivity_failed,2026-04-24 23:47:12
9530,23121,20,REJECT,neighbor_abort,2026-04-24 23:47:15
5439,22100,11,ACCEPT,outputs_ok,2026-04-24 23:47:18
9076,21866,19,REJECT,neighbor_abort,2026-04-24 23:47:19
4529,20734,9,REJECT,connectivity_failed,2026-04-24 23:47:21
438,21913,0,ACCEPT,outputs_ok,2026-04-24 23:47:23
7709,21511,16,ACCEPT,outputs_ok,2026-04-24 23:47:23
5440,22122,11,REJECT,connectivity_failed,2026-04-24 23:47:23
9076,21888,19,REJECT,connectivity_failed,2026-04-24 23:47:24
9530,23143,20,REJECT,connectivity_failed,2026-04-24 23:47:24
4071,22999,8,ACCEPT,outputs_ok,2026-04-24 23:47:26
5440,22144,11,REJECT,connectivity_failed,2026-04-24 23:47:27
5896,21617,12,ACCEPT,outputs_ok,2026-04-24 23:47:27
4529,20756,9,REJECT,connectivity_failed,2026-04-24 23:47:27
9076,21910,19,REJECT,connectivity_failed,2026-04-24 23:47:31
5897,21639,12,REJECT,connectivity_failed,2026-04-24 23:47:34
5440,22166,11,REJECT,connectivity_failed,2026-04-24 23:47:38
9076,21932,19,REJECT,connectivity_failed,2026-04-24 23:47:40
3620,21282,7,ACCEPT,outputs_ok,2026-04-24 23:47:44
8628,21623,18,ACCEPT,outputs_ok,2026-04-24 23:47:46
9984,22110,21,ACCEPT,outputs_ok,2026-04-24 23:47:48
9076,21954,19,REJECT,connectivity_failed,2026-04-24 23:47:48
1795,20332,3,ACCEPT,outputs_ok,2026-04-24 23:47:50
3621,21304,7,REJECT,connectivity_failed,2026-04-24 23:47:52
4985,20691,10,ACCEPT,outputs_ok,2026-04-24 23:47:55
8629,21645,18,REJECT,connectivity_failed,2026-04-24 23:47:55
1796,20354,3,REJECT,connectivity_failed,2026-04-24 23:47:58
3621,21326,7,REJECT,connectivity_failed,2026-04-24 23:48:00
8629,21667,18,REJECT,connectivity_failed,2026-04-24 23:48:02
6358,21662,13,ACCEPT,outputs_ok,2026-04-24 23:48:03
1343,20705,2,ACCEPT,outputs_ok,2026-04-24 23:48:06
7259,20960,15,ACCEPT,outputs_ok,2026-04-24 23:48:08
1344,20727,2,REJECT,neighbor_abort,2026-04-24 23:48:15
7260,20982,15,REJECT,connectivity_failed,2026-04-24 23:48:17
7260,21004,15,REJECT,connectivity_failed,2026-04-24 23:48:22
1344,20749,2,REJECT,connectivity_failed,2026-04-24 23:48:24
896,20462,1,ACCEPT,outputs_ok,2026-04-24 23:48:29
7260,21026,15,REJECT,connectivity_failed,2026-04-24 23:48:29
1344,20771,2,REJECT,connectivity_failed,2026-04-24 23:48:31
5897,21661,12,ACCEPT,outputs_ok,2026-04-24 23:48:36
9530,23165,20,ACCEPT,outputs_ok,2026-04-24 23:48:36
897,20484,1,REJECT,neighbor_abort,2026-04-24 23:48:37
7260,21048,15,REJECT,connectivity_failed,2026-04-24 23:48:37
5440,22188,11,ACCEPT,outputs_ok,2026-04-24 23:48:38
7710,21533,16,ACCEPT,outputs_ok,2026-04-24 23:48:38
439,21935,0,ACCEPT,outputs_ok,2026-04-24 23:48:39
6814,22103,14,ACCEPT,outputs_ok,2026-04-24 23:48:40
4529,20778,9,ACCEPT,outputs_ok,2026-04-24 23:48:41
2262,22093,4,ACCEPT,outputs_ok,2026-04-24 23:48:43
2714,21962,5,ACCEPT,outputs_ok,2026-04-24 23:48:43
9531,23187,20,REJECT,connectivity_failed,2026-04-24 23:48:44
5898,21683,12,REJECT,connectivity_failed,2026-04-24 23:48:45
7260,21070,15,REJECT,connectivity_failed,2026-04-24 23:48:45
897,20506,1,REJECT,neighbor_abort,2026-04-24 23:48:45
5441,22210,11,REJECT,connectivity_failed,2026-04-24 23:48:46
7711,21555,16,REJECT,connectivity_failed,2026-04-24 23:48:47
6815,22125,14,REJECT,connectivity_failed,2026-04-24 23:48:48
5441,22232,11,REJECT,connectivity_failed,2026-04-24 23:48:50
8169,22172,17,ACCEPT,outputs_ok,2026-04-24 23:48:50
9531,23209,20,REJECT,connectivity_failed,2026-04-24 23:48:51
7260,21092,15,REJECT,connectivity_failed,2026-04-24 23:48:53
897,20528,1,REJECT,neighbor_abort,2026-04-24 23:48:54
9076,21976,19,ACCEPT,outputs_ok,2026-04-24 23:48:55
7711,21577,16,REJECT,connectivity_failed,2026-04-24 23:48:56
8170,22194,17,REJECT,connectivity_failed,2026-04-24 23:48:56
