seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35421,10035421,1,6.260000,2.696739,1.000000,11.000000,35.520000,21.787372,34.080000,13.245135,0,1,69.952164
35422,10035422,1,6.480000,3.021523,1.000000,14.000000,36.060000,26.335839,49.000000,0.000000,50,0,70.655743
35423,10035423,1,6.980000,2.983220,2.000000,14.000000,43.760000,29.324092,41.640000,11.394314,0,1,73.090234
35425,10035425,1,5.760000,1.619383,2.000000,8.000000,26.640000,10.959489,49.000000,0.000000,50,0,67.016725
35426,10035426,1,6.840000,3.662567,1.000000,15.000000,49.000000,40.005500,41.320000,11.519444,0,1,61.915127
35424,10035424,1,7.760000,3.134071,1.000000,14.000000,52.740000,32.654439,49.000000,0.000000,50,0,64.169147
35427,10035427,1,5.620000,2.407405,1.000000,11.000000,26.520000,19.381682,49.000000,0.000000,50,0,67.692106
35430,10035430,1,6.120000,1.893568,2.000000,9.000000,28.900000,11.171840,49.000000,0.000000,50,0,61.178702
35429,10035429,1,6.720000,2.691022,1.000000,11.000000,38.960000,24.969549,48.680000,2.240000,49,0,73.694488
35432,10035432,1,6.100000,2.507987,1.000000,11.000000,31.600000,19.006315,35.560000,12.464606,0,0,65.701262
35431,10035431,1,7.040000,3.199750,0.000000,14.000000,47.820000,35.370434,47.020000,6.718601,0,0,69.192876
35428,10035428,1,7.280000,4.098975,1.000000,16.000000,55.320000,52.332185,45.160000,9.014122,0,0,71.551596
35433,10035433,1,7.300000,3.894868,0.000000,15.000000,47.360000,37.887074,47.040000,6.720000,0,0,63.139145
35434,10035434,1,6.160000,2.715585,0.000000,12.000000,32.320000,19.022555,23.000000,12.835887,0,0,59.881754
35435,10035435,1,7.440000,3.099419,0.000000,13.000000,45.580000,27.877654,36.760000,12.951540,0,0,58.546766
35436,10035436,1,6.280000,2.569358,1.000000,12.000000,32.820000,17.910544,49.000000,0.000000,50,0,62.560833
35437,10035437,1,6.700000,2.865310,2.000000,13.000000,41.600000,31.817605,49.000000,0.000000,50,0,71.476163
