seed,verdict,reason,seconds
2177,accept,ok,35
2169,accept,ok,43
2180,accept,ok,30
2209,reject,Attacker_not_available
Terminated,6
2179,accept,ok,34
2184,accept,ok,28
2178,accept,ok,37
2182,accept,ok,35
2186,accept,ok,32
2218,reject,Attacker_not_available
Terminated,7
2220,reject,Attacker_not_available
Terminated,7
2187,accept,ok,34
2191,accept,ok,33
2183,accept,ok,37
2226,reject,Attacker_not_available
Terminated,8
2233,reject,Attacker_not_available
Terminated,6
2236,reject,Attacker_not_available
Terminated,7
2194,accept,ok,29
2206,accept,ok,26
2196,accept,ok,30
2193,accept,ok,34
2192,accept,ok,35
2203,accept,ok,37
2260,reject,Attacker_not_available
Terminated,7
2197,accept,ok,39
2208,accept,ok,36
2210,accept,ok,33
2205,accept,ok,43
2216,accept,ok,34
2223,accept,ok,31
2215,accept,ok,35
2231,accept,ok,32
2267,reject,Attacker_not_available
Terminated,8
2230,accept,ok,33
2278,reject,Attacker_not_available
Terminated,6
2237,accept,ok,35
2244,accept,ok,35
2246,accept,ok,35
2239,accept,ok,36
2256,accept,ok,30
2238,accept,ok,37
2258,accept,ok,31
2255,accept,ok,33
2253,accept,ok,34
2294,reject,Assert_connectivity_failed,4
2251,accept,ok,39
2292,reject,Attacker_not_available
Terminated,7
2265,accept,ok,29
2262,accept,ok,39
2263,accept,ok,32
2305,reject,Attacker_not_available
Terminated,6
2312,reject,Assert_connectivity_failed,4
2264,accept,ok,36
2269,accept,ok,32
2272,accept,ok,32
2273,accept,ok,31
2268,accept,ok,38
2285,accept,ok,28
2271,accept,ok,39
2290,accept,ok,27
2282,accept,ok,36
2289,accept,ok,28
2284,accept,ok,38
2299,accept,ok,32
2287,accept,ok,36
2344,reject,Attacker_not_available
